year,election,jurisdiction,position,candidate,precinct,vote_count,vote_percent
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1245,127,54.04
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1246,102,49.51
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1247,128,56.89
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1248,119,65.03
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1249,132,61.68
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1250,109,64.5
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1251,107,46.93
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1252,214,63.69
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1254,108,68.35
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1255,54,34.18
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1256,139,61.78
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1257,111,40.36
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1258,73,32.16
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1259,91,46.43
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1408,103,22.99
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1409,66,26.09
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1410,20,14.71
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1411,48,25.81
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1412,41,28.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1413,102,38.35
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1414,54,37.24
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1415,106,45.89
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1416,93,43.06
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1418,80,44.94
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1419,102,30.09
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1420,144,38.4
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1422,103,44.78
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1423,120,66.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1424,105,43.75
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1425,73,38.83
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1426,57,34.97
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1427,77,44.77
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1428,43,34.68
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1429,57,37.25
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1430,86,43.22
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1431,84,35.9
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1432,86,40.38
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1433,75,34.25
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1434,48,29.81
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1435,81,45.51
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1436,78,57.78
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1437,128,51.41
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1438,63,34.62
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1439,62,32.46
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1440,55,37.16
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1441,46,34.07
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1442,49,29.88
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1443,46,18.04
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1444,125,33.07
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1446,94,37.45
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1448,62,36.69
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1449,78,40.84
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1450,92,47.92
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1451,104,53.06
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1452,74,48.05
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1453,68,38.2
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1454,81,47.09
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1455,122,57.28
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1456,110,49.77
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1457,102,43.97
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1458,81,36
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1459,86,47.25
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1460,48,24.37
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1461,77,30.68
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1462,42,21.88
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1463,54,33.33
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1464,115,45.1
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1465,108,43.03
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1466,96,50
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1467,147,41.88
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1468,106,50.96
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1469,72,51.06
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1470,71,64.55
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1471,180,56.43
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1472,72,45
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1473,94,51.93
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1474,98,50.26
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1475,73,41.71
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1476,71,38.59
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1477,78,43.58
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1478,40,26.32
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1479,79,43.41
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1480,173,47.53
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1481,127,59.07
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1482,114,60
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1484,113,57.36
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1485,85,47.75
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1486,125,55.31
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1487,165,52.22
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1488,91,56.17
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1489,100,41.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1490,165,58.72
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1493,194,58.61
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1494,150,49.34
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1496,81,59.12
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1497,183,55.29
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1498,189,54.47
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1499,129,42.72
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1500,136,44.74
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1501,82,36.44
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1502,78,36.45
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1504,100,40.98
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1506,61,38.36
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1507,93,43.46
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1508,55,33.74
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1509,70,39.55
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1510,100,41.32
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1511,79,53.74
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1512,81,57.04
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1513,153,55.23
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1514,162,66.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1515,118,58.13
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1516,90,44.33
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1517,81,48.21
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1518,56,38.89
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1519,53,30.46
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1520,81,37.85
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1521,45,31.47
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1522,52,37.14
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1523,56,29.95
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1524,70,37.43
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1526,72,43.64
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1527,193,51.47
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1529,78,63.41
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1530,150,38.86
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1532,47,33.33
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1533,47,36.15
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1534,73,33.03
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1535,61,36.31
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1536,73,41.95
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1537,99,68.28
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1538,103,45.37
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1539,85,43.81
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1540,87,45.55
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1541,71,32.42
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1543,46,22.22
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1545,106,46.9
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1546,90,38.46
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1550,183,75.62
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1552,100,66.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1602,233,69.14
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1928,78,72.22
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-2501,62,25.83
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3175,111,49.12
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3263,135,68.53
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3264,99,63.06
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3265,64,60.38
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3266,62,54.87
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3416,43,57.33
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3497,16,37.21
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3617,118,45.91
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3632,91,58.33
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3637,111,47.03
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3647,68,59.65
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3648,117,52.7
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3682,117,58.5
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3693,0,0
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3702,74,44.31
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3767,65,58.04
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3770,163,59.27
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3772,129,46.24
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3785,133,51.55
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3839,71,52.59
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3866,71,45.81
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-3942,101,62.73
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 37-3969,4,57.14
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1245,107,45.53
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1246,104,50.49
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1247,97,43.11
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1248,64,34.97
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1249,82,38.32
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1250,60,35.5
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1251,121,53.07
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1252,117,34.82
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1254,48,30.38
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1255,103,65.19
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1256,85,37.78
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1257,162,58.91
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1258,154,67.84
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1259,105,53.57
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1408,343,76.56
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1409,187,73.91
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1410,116,85.29
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1411,138,74.19
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1412,100,69.93
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1413,162,60.9
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1414,91,62.76
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1415,123,53.25
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1416,122,56.48
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1418,97,54.49
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1419,235,69.32
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1420,229,61.07
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1422,127,55.22
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1423,60,33.33
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1424,135,56.25
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1425,115,61.17
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1426,106,65.03
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1427,95,55.23
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1428,81,65.32
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1429,95,62.09
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1430,113,56.78
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1431,148,63.25
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1432,126,59.15
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1433,140,63.93
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1434,113,70.19
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1435,97,54.49
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1436,56,41.48
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1437,119,47.79
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1438,118,64.84
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1439,129,67.54
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1440,93,62.84
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1441,89,65.93
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1442,114,69.51
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1443,207,81.18
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1444,253,66.93
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1446,156,62.15
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1448,105,62.13
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1449,112,58.64
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1450,99,51.56
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1451,92,46.94
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1452,80,51.95
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1453,110,61.8
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1454,91,52.91
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1455,90,42.25
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1456,109,49.32
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1457,129,55.6
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1458,144,64
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1459,95,52.2
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1460,149,75.63
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1461,173,68.92
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1462,147,76.56
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1463,108,66.67
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1464,140,54.9
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1465,143,56.97
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1466,96,50
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1467,203,57.83
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1468,100,48.08
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1469,69,48.94
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1470,39,35.45
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1471,139,43.57
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1472,87,54.37
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1473,86,47.51
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1474,96,49.23
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1475,102,58.29
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1476,113,61.41
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1477,101,56.42
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1478,112,73.68
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1479,103,56.59
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1480,191,52.47
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1481,84,39.07
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1482,75,39.47
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1484,84,42.64
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1485,93,52.25
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1486,101,44.69
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1487,146,46.2
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1488,69,42.59
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1489,138,57.5
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1490,113,40.21
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1493,135,40.79
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1494,154,50.66
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1496,55,40.15
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1497,147,44.41
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1498,158,45.53
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1499,172,56.95
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1500,166,54.61
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1501,143,63.56
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1502,134,62.62
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1504,142,58.2
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1506,98,61.64
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1507,120,56.07
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1508,108,66.26
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1509,107,60.45
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1510,142,58.68
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1511,68,46.26
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1512,61,42.96
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1513,123,44.4
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1514,81,33.33
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1515,84,41.38
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1516,112,55.17
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1517,87,51.79
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1518,87,60.42
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1519,121,69.54
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1520,133,62.15
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1521,98,68.53
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1522,88,62.86
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1523,130,69.52
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1524,115,61.5
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1526,93,56.36
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1527,182,48.53
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1529,44,35.77
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1530,236,61.14
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1532,92,65.25
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1533,83,63.85
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1534,147,66.52
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1535,107,63.69
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1536,100,57.47
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1537,46,31.72
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1538,121,53.3
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1539,107,55.15
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1540,104,54.45
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1541,148,67.58
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1543,161,77.78
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1545,120,53.1
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1546,139,59.4
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1550,58,23.97
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1552,50,33.33
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1602,103,30.56
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-1928,29,26.85
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-2501,175,72.92
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3175,115,50.88
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3263,60,30.46
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3264,58,36.94
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3265,42,39.62
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3266,49,43.36
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3416,31,41.33
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3497,27,62.79
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3617,135,52.53
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3632,65,41.67
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3637,125,52.97
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3647,45,39.47
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3648,104,46.85
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3682,83,41.5
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3693,1,100
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3702,92,55.09
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3767,47,41.96
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3770,112,40.73
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3772,150,53.76
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3785,124,48.06
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3839,64,47.41
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3866,83,53.55
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 34-3942,60,37.27
2023,General,City of Seattle,Council District No. 1,Rob Saka,SEA 37-3969,3,42.86
2023,General,City of Seattle,Council District No. 1,Write-in,SEA 34-1245,1,0.43
